,shap_weighted_ranking,shap_mean_ranking,importance_weighted_ranking,importance_mean_ranking,annotations,count,importance_1-sided,importance_Bent tail,importance_C-shaped,importance_Classical double,importance_Compact Symmetric Object (CSO),importance_Core-dominant,importance_Core-jet,importance_Diffuse,importance_Double,importance_Double-double (DDRG),importance_Fanaroff and Riley Class 0 (FR 0),importance_Fanaroff and Riley Class 1 (FR I),importance_Fanaroff and Riley Class 2 (FR II),importance_Hybrid,importance_Narrow-angle tail (NAT),importance_Odd Radio Circle (ORC),importance_S-shaped,importance_Single,importance_Star Forming Galaxy (SFG),importance_Triple,importance_Wide-angle tail (WAT),importance_X-shaped,importance_mean,importance_weighted,shap_1-sided,shap_Bent tail,shap_C-shaped,shap_Classical double,shap_Compact Symmetric Object (CSO),shap_Core-dominant,shap_Core-jet,shap_Diffuse,shap_Double,shap_Double-double (DDRG),shap_Fanaroff and Riley Class 0 (FR 0),shap_Fanaroff and Riley Class 1 (FR I),shap_Fanaroff and Riley Class 2 (FR II),shap_Hybrid,shap_Narrow-angle tail (NAT),shap_Odd Radio Circle (ORC),shap_S-shaped,shap_Single,shap_Star Forming Galaxy (SFG),shap_Triple,shap_Wide-angle tail (WAT),shap_X-shaped,shap_mean,shap_weighted
0,0,0,0,22,trace,35,0.0010784378336717,0.0006832423977812,0.0007145573139859,0.0014055025529199,0.0,0.002713661775561,0.0008494073952654,0.0017866403369763,0.0035854133824071,0.0,0.0,0.0018539026302501,0.0016172248706196,0.0,0.0031108682185139,0.0,0.0012788247353245,0.0,0.1980320093045428,0.0012244594747348,0.0025868075799988,0.0046714139398363,0.2271923737423898,38.43293306732637,0.1127051002779868,0.1328190202425605,0.0560032866766536,0.2029964167639249,0.0,0.2587012195016096,0.1971626883643725,0.2334977768762479,1.8147204965701085,0.0,0.0,0.5419508442720946,0.377387967435133,0.0,0.1034640578426527,0.0,0.1381840545103846,0.0,38.25337754385352,0.2977330765836738,0.3163246521617653,0.0677522375341521,43.10478043946685,7578.225929871633
1,1,1,5,29,disk,30,0.0006370012316968,0.0015313302369767,0.0001638580475075,0.0018459371873731,0.0,0.0012453678792204,0.0018461048409099,0.0054301280796112,0.0036032679795025,0.0,0.0,0.0011591840749081,0.0014088697773037,0.0,0.0042137924757426,0.0,0.0014869672092893,0.0,0.1579109835267459,0.000626212747189,0.0019375912138477,0.0017551047205754,0.1868017012284007,31.54166042299961,0.0809683392925322,0.1145658068606198,0.0210430744303948,0.1748104524542924,0.0,0.1784880251064486,0.1659165495087738,0.308346193452586,1.3215139382815668,0.0,0.0,0.3026580410397163,0.2077161602978076,0.0,0.0820325036607445,0.0,0.1254165497148694,0.0,29.16599812361755,0.1921294221676449,0.1784661438155387,0.0351672711663918,32.65523659486748,5763.115414233576
2,2,2,9,8,bright,146,0.0162297185844301,0.0238485531753428,0.0116028964862453,0.0165595012439087,0.0,0.0352208528697343,0.0152784998855522,0.0175875856683586,0.0221645901554573,0.0,0.0,0.0357967660670281,0.0152543974467568,0.0,0.0298739672165519,0.0,0.0177390946674449,0.0,0.0144236103275248,0.0261075918424655,0.0275994629713938,0.0147905107109483,0.3400775993191441,29.46770441038344,0.9664915975743184,0.6187127391966507,0.4999715263452399,1.1874702655716942,0.0,1.8156662315917047,0.7056838853182826,1.406420630533196,5.071097597771838,0.0,0.0,6.094984028070493,1.7197928261862878,0.0,1.1860436298564796,0.0,0.5006311092104785,0.0,6.482696202417137,1.5035148254855055,1.768106734917941,0.4527130128931066,31.97999684294036,3937.7848439636296
3,3,7,13,16,double,74,0.0076752733053441,0.0181416556835132,0.0094392915768697,0.0342099444987627,0.0,0.0138550840757285,0.006315875511146,0.0128438947010001,0.0368608074177025,0.0,0.0,0.0212821762198354,0.028827981107094,0.0,0.0021008332538624,0.0,0.0282342535787524,0.0,0.0060771839863072,0.0169387528058594,0.0125980307949255,0.0067891663625302,0.2621902048792342,25.501960514382134,0.7727446065137428,0.5583340876666935,0.2183154354244323,2.4787131860725324,0.0,0.4009234561397469,0.7673734622757278,0.651415085156024,10.954246844418224,0.0,0.0,1.4972705440200254,1.463810422163513,0.0,0.2306401979177729,0.0,0.8583363983326202,0.0,3.679085097215972,0.8088711390876593,0.4994909070261973,0.1176459071483591,25.95721677657924,3792.017500996893
4,4,14,21,48,spiral,24,0.0006521759469941,0.0006941124331972,0.0003965688140944,0.0009935259609035,0.0,0.0007701598871955,0.0010360901865868,0.0009909648809526,0.0008208046221201,0.0,0.0,0.0013654791314581,0.0009112727913277,0.0,0.0019556809932683,0.0,0.0009256666481453,0.0,0.1029462128296291,0.0005158675871827,0.0010108021026735,0.0024719427082974,0.118457327524027,19.87813157747195,0.0537399747551323,0.0585437596052618,0.0108621373649116,0.0575076334299215,0.0,0.0867061150803513,0.0990260280626689,0.0921062813989878,0.4250092942392435,0.0,0.0,0.2360399303027046,0.1318548803081184,0.0,0.0440601248555809,0.0,0.0510301794174551,0.0,17.336408170594318,0.0969487794950946,0.0981600032026251,0.027747559072439,18.905750851184813,3337.5735590961453
5,5,5,1,1,asymmetric,71,0.0418674526328816,0.0505921164502981,0.0217896036582212,0.0219095267632946,0.0,0.0162868091940922,0.0329991107979777,0.0381995454608779,0.0143953983709122,0.0,0.0,0.0218197969418258,0.0115544607050123,0.0,0.0229378006212087,0.0,0.0277333527697898,0.0,0.0133762830267378,0.0202836928691727,0.0181855334590334,0.0213557228097387,0.3952862065310755,34.07405639914093,3.5976914996805487,3.1233430048820416,0.5483491256546904,0.8156979076676945,0.0,0.3969875898324828,1.7792128315299376,1.9139498313166572,2.630733363806457,0.0,0.0,1.1744944829249448,0.9745657046368594,0.0,0.4772640414324381,0.0,1.029622336341725,0.0,6.153694817281552,0.6307411421915043,0.6464223277420624,0.4272177287709094,26.3199877356925,3161.111883811556
6,6,4,2,4,extend,153,0.0326127850128238,0.0226489064610867,0.0178331076514323,0.0205992509748754,0.0,0.0344978908129103,0.0241305063397095,0.0184204657341058,0.0247283528474195,0.0,0.0,0.0343086694223911,0.0191708024505634,0.0,0.013337513673124,0.0,0.0339744411387028,0.0,0.0109824638762107,0.0269033212530346,0.0192564266696664,0.0227275902575497,0.3761324945756068,32.435301439831534,1.6998485945287298,0.5386994937182187,0.6306394801215338,0.6587519059133333,0.0,2.43174249032014,1.6300371992886915,1.0503649121533911,5.052776249812445,0.0,0.0,3.17312805361981,0.884969971711459,0.0,0.6933690414947591,0.0,1.734049838132632,0.0,2.8637308541048445,2.2095177749752994,1.3454169613785911,0.3197106692730718,26.916753490546945,3048.516568994924
7,7,12,16,26,hourglass,23,0.0166803983223372,0.0008012020213277,0.0005803547964875,0.0366576427895134,0.0,0.0037141956691953,0.0242444407533816,0.0024729808456018,0.0585224472338165,0.0,0.0,0.0028344525273786,0.026124471598927,0.0,0.0006158659630977,0.0,0.0026753549184274,0.0,0.0017593335158119,0.0101958810592895,0.0150608419466291,0.0038825805306975,0.2068224444919205,23.69444690369022,0.6627081313007344,0.0882889725783318,0.0215689937934791,2.1823192029599965,0.0,0.2087569878027426,0.8404231547479809,0.211603080903448,11.650562823108034,0.0,0.0,0.3943559531595556,1.7207718596546464,0.0,0.0374254341444975,0.0,0.1160071525918768,0.0,0.1952711464403974,0.5056405738583608,0.673897497176619,0.0404425977302637,19.550043561950964,3000.833024645632
8,8,9,20,18,compact,122,0.0081295468380571,0.0173708957786089,0.0338831284764034,0.0068249947312187,0.0,0.0244797773447547,0.0198550415314607,0.0143463224064263,0.0154713795248166,0.0,0.0,0.0148331510439671,0.0085345248508106,0.0,0.0068980475238244,0.0,0.0071555473606662,0.0,0.0111920151282009,0.0122528223515035,0.009643673369639,0.0318580741225012,0.2427289423828599,20.281101839394253,1.0634620656163478,0.3481313460587509,0.6604605694864288,1.0265098172160416,0.0,0.9310451744071566,0.7986549266509836,1.4372200736800842,6.074765607570463,0.0,0.0,1.3076840813741215,1.2272231303590706,0.0,0.4363197725779442,0.0,0.8001203833245153,0.0,2.616906527273279,0.8518448731656485,1.5353449313102825,0.8697210636674247,21.98541434373854,2758.3843091032954
9,9,11,8,7,counterpart,81,0.0142451311583532,0.0224268380013031,0.0297218224442737,0.0140848076437136,0.0,0.0395947060784514,0.0266044744826116,0.036814327337676,0.0257473529787347,0.0,0.0,0.0176977235757217,0.0108622918740906,0.0,0.045248708127972,0.0,0.0079494190351632,0.0,0.0086616061475994,0.0155190433988357,0.0160857733447275,0.0133677754405877,0.3446318010698157,30.523670184307885,1.204611644350772,0.6363901902913187,0.517958822103116,0.8228627019863392,0.0,1.9849675667419464,0.8470979015787751,1.7245706335900663,6.155187715329498,0.0,0.0,1.0388776790307148,0.8690109935804897,0.0,1.0031506327827755,0.0,0.7523171553114724,0.0,1.5362906664571525,1.1162129311900717,1.079477796399542,0.1960401357834061,21.48502516650745,2660.0707825422624
10,10,10,7,6,component,151,0.021401850383927,0.0141955478932875,0.012785459969286,0.0173353216008901,0.0,0.0256353838753421,0.0260632205080124,0.0310128345469226,0.0215800296392313,0.0,0.0,0.0256933554369944,0.0218731097058433,0.0,0.0364924700498946,0.0,0.0237254751531041,0.0,0.0141874135279656,0.0189248477521624,0.0264487205922541,0.0083122145849977,0.345667255220116,30.912006997944932,0.6542402919332454,1.336094825851716,0.4656784957567782,0.5759826830968766,0.0,1.428650658245698,0.90362274014617,1.339616950822796,2.8812611301977062,0.0,0.0,1.200611630476375,1.452794441387437,0.0,0.4096407736713001,0.0,0.5135688647778371,0.0,5.382262955094205,1.020471642094756,1.7361880925580937,0.3296684759952014,21.630354652106195,2654.714502382444
11,11,3,11,2,bent,80,0.0240818394733632,0.0306468516339156,0.0381681602473418,0.0055770120201317,0.0,0.0259190880773998,0.0191707489879657,0.0163739605708143,0.0207431234387747,0.0,0.0,0.0276363010590925,0.006724524739633,0.0,0.0366602798704407,0.0,0.064005863090778,0.0,0.0059889344004632,0.0184956572215992,0.0418864013342403,0.0119444162350296,0.3940231624009839,29.021486495888997,0.5642956584814491,2.207371156685322,1.3094455412816723,0.8131759868478992,0.0,1.8049524758668585,0.528910017346329,0.5043701612285275,3.768953646473019,0.0,0.0,3.002200529887584,1.1916692175241357,0.0,1.218440853957862,0.0,4.135295048363789,0.0,1.1556639846199708,1.6372969732541105,4.865247602683774,0.3573450319857758,29.06463388648807,2537.8366644351136
12,12,6,3,5,middle,104,0.0307712255914001,0.0213296626636428,0.0191831656550667,0.0258978038610031,0.0,0.0474393288037764,0.0257925518040303,0.022102451466834,0.0177476191571782,0.0,0.0,0.0285084925916486,0.0190534344329274,0.0,0.0147714664100018,0.0,0.0297355361285985,0.0,0.0084425226984444,0.0295307497694182,0.0234464759767845,0.0094530931685454,0.3732055801793012,31.929916242039507,1.823894633275108,1.1452406213125692,0.395539312103277,1.2336921914615848,0.0,4.191078490433361,2.399074963479694,0.7332506143905131,1.477107047899913,0.0,0.0,3.243559575920444,0.9512801407329644,0.0,0.61234480087614,0.0,2.0038141771519693,0.0,1.7120702750036432,2.8987965613163285,1.0246449076540218,0.2122803492139047,26.05766866222544,2412.278144881797
13,13,8,4,0,brighten,37,0.0051458094283866,0.0267231475692592,0.0999906092719668,0.0609650760860144,0.0,0.051086175492859,0.0035637564590637,0.0064354209209388,0.0155321360742455,0.0,0.0,0.0306909308235929,0.0298766578624051,0.0,0.0061000375342895,0.0,0.0077907092934612,0.0,0.0024614061693819,0.0367048580361592,0.0134516446367332,0.0006910286902695,0.3972094043490273,31.57419464196224,0.3337063756846219,0.8866125934363976,1.8701478205708708,4.437795507349011,0.0,1.8896146201539887,0.317751819557858,0.4567776886804114,2.4305546785852536,0.0,0.0,2.8727344215794246,2.98574887568208,0.0,0.1334317781649066,0.0,0.371089681146399,0.0,1.4935778784233644,2.652091578183113,0.5393469579373878,0.0440511647397353,23.715033439874816,2390.123886828552
14,14,18,14,20,linear,11,0.0010593121444876,0.0005404390314994,0.0038980622247555,0.0272945197365424,0.0,0.0256424907303226,0.0011434680274939,0.0281412403044765,0.0483728453029015,0.0,0.0,0.0390272056398549,0.0019755269204529,0.0,0.0024359305856774,0.0,9.971511602749695e-05,0.0,0.0001796851945835,0.0009363176083307,0.0009010341883812,0.0540591156728147,0.235706908428603,24.217229935272496,0.0561584973697558,0.0313759534911462,0.0444793618435667,1.2145412258699542,0.0,0.7937363002379102,0.0482251713087347,1.5189320759970515,7.969049954715371,0.0,0.0,2.7320112756098225,0.1275667462404687,0.0,0.0229782906216773,0.0,0.012488856064381,0.0,0.1218515828422389,0.0784024053410576,0.0687099402896917,0.629215228033584,15.469722865876411,2340.273753450241
15,15,13,12,12,elongate,45,0.0066426850434106,0.0031356533849345,0.0020847349729322,0.0369879219020786,0.0,0.0192412116609899,0.0141717957817355,0.030988366959109,0.0236472300203374,0.0,0.0,0.0099247752450484,0.0358219364879239,0.0,0.0033615044830107,0.0,0.0176912976903841,0.0,0.0075201236320034,0.0305773336748547,0.0053683575788657,0.037641602755796,0.2848065312734155,26.47550373101698,0.4019338357143356,0.273008669735338,0.0858510864143233,2.195657005312734,0.0,0.3995847108921017,0.396946800101921,0.9706294011009128,4.744657494121126,0.0,0.0,0.6588609506543055,3.399417416910267,0.0,0.1312648064225503,0.0,0.8935531783605528,0.0,0.8366739778628705,2.448978246150357,0.610294233090309,0.7641946112530502,19.211506424097053,2243.886083452011
