,classification_id,user_id,workflow_id,annotations,subject_ids
0,389011724,2410044,20494,"compact core, extended towards South",71287208
1,389011830,2410044,20494,"double component, faint counterpart South",71287015
2,389011900,2410044,20494,"complex, extended, irregular",71287154
3,389044790,2410044,20494,"complex, extended, strong core",71287181
4,389044839,2410044,20494,"elongated, single tail, extended",71287138
5,389045210,2410044,20494,compact,71287021
6,389045277,2410044,20494,"compact, no optical counterpart, marginal detection",71287202
7,389045913,2410044,20494,"compact, slightly elongated",71287195
8,389046876,2410044,20494,"compact, slightly extended",71287003
9,389046907,2410044,20494,,71287196
10,389049341,2410044,20494,"multi-component, extended",71287244
11,389049673,2410044,20494,"elongated, extended",71287284
12,389049863,2410044,20494,"complex, extended, triangular shape, multi-component",71287246
13,389049946,2410044,20494,"compact, slightly elongated",71287050
14,389050027,2410044,20494,"extended, bright core, galaxy ",71287078
15,389050071,2410044,20494,"compact, slightly extended West",71287171
16,389050151,2410044,20494,"bright core, extended tail",71287005
17,389050191,2410044,20494,marginal detection,71287205
18,389050357,2410044,20494,"compact, slightly extended",71287173
19,389050381,2410044,20494,compact,71287270
20,389050397,2410044,20494,compact,71287160
21,389050592,2410044,20494,"two components, elongated",71287051
22,389050680,2410044,20494,X-shaped,71287081
23,389050706,2410044,20494,compact,71287225
24,389050804,2410044,20494,"multi-component, likely connected to neighbouring source, elongated",71287211
25,389050839,2410044,20494,core emission of galaxy,71287272
26,389050884,2410044,20494,"compact, slightly elongated",71287035
27,389060922,2410044,20494,"extended, blob-like ",71287139
28,389060985,2410044,20494,"V-shaped, central counterpart",71287068
29,389064835,2410044,20494,"elongated, two jets, dominant core",71287146
30,389064882,2410044,20494,"extended, irregular, multi-component",71287136
31,389064940,2410044,20494,part of jet emission,71287168
32,389064997,2410044,20494,"compact, extended towards North",71287086
33,389065032,2410044,20494,compact,71287210
34,389065127,2410044,20494,"roundish, diffuse",71287030
35,389065345,2410044,20494,"compact core, (confused) jet",71287033
36,389076084,2410044,20494,"diffuse, elongated, disk",71287266
37,389076364,2410044,20494,"extended, elongated, jet, part of larger structure",71287022
38,389076409,2410044,20494,"compact, roundish",71287044
39,389076481,2410044,20494,"compact, slightly elongated",71287121
40,389076545,2410044,20494,"compact, slightly elongated",71287285
41,389076691,2410044,20494,"three-component source, extended, elongated",71287227
42,389076973,2410044,20494,two-component,71287064
43,389077322,2410044,20494,"tip of tailed emission, arc-like",71287105
44,389077967,2410044,20494,"diffuse, extended, part of larger structure",71287001
45,389080563,2410044,20494,"compact, extensions to West and North",71287254
46,389080675,2410044,20494,"elongated, galaxy emission",71287060
47,389080752,2410044,20494,"compact, marginal detection",71287199
48,389080866,2410044,20494,"diffuse, triangular shape",71287090
49,389080925,2410044,20494,"compact, roundish",71287031
50,389081009,2410044,20494,"compact, boxy",71287049
51,389081200,2410044,20494,"diffuse, extended ",71287269
52,389081518,2410044,20494,two-component,71287234
53,389082855,2410044,20494,"compact core, extended towards North",71287250
54,389083044,2410044,20494,"compact core, two jets",71287167
55,389083176,2410044,20494,"three-component, elongated",71287276
56,389083334,2410044,20494,"two-component, elongated structure West",71287290
57,389083415,2410044,20494,marginal detection,71287099
58,389291640,2410044,20494,"double-component, elongated",71287257
59,389291656,2410044,20494,"compact, roundish",71287120
60,389291732,2410044,20494,"core, two extensions",71287014
61,389291755,2410044,20494,"diffuse, blobby",71287214
62,389291794,2410044,20494,"compact, strong core, extension to the West",71287141
63,389291831,2410044,20494,"compact core, extension to the West",71287096
64,389298218,2410044,20494,"diffuse, triangular shape",71287249
