,classification_id,user_id,workflow_id,annotations,subject_ids,original_annotations
0,389011724,2410044,20494,compact core,71287208,compact core
1,389011724,2410044,20494,extended,71287208, extended towards south
2,389011830,2410044,20494,double component,71287015,double component
3,389011830,2410044,20494,faint counterpart,71287015, faint counterpart south
4,389011900,2410044,20494,complex,71287154,complex
5,389011900,2410044,20494,extended,71287154, extended
6,389011900,2410044,20494,irregular,71287154, irregular
7,389044790,2410044,20494,complex,71287181,complex
8,389044790,2410044,20494,extended,71287181, extended
9,389044790,2410044,20494,strong core,71287181, strong core
10,389044839,2410044,20494,elongated,71287138,elongated
11,389044839,2410044,20494,single tail,71287138, single tail
12,389044839,2410044,20494,extended,71287138, extended
13,389045210,2410044,20494,compact,71287021,compact
14,389045277,2410044,20494,compact,71287202,compact
16,389045277,2410044,20494,marginal detection,71287202, marginal detection
17,389045913,2410044,20494,compact,71287195,compact
18,389045913,2410044,20494,slightly elongated,71287195, slightly elongated
19,389046876,2410044,20494,compact,71287003,compact
20,389046876,2410044,20494,slightly extended,71287003, slightly extended
21,389046907,2410044,20494,nan,71287196,nan
22,389049341,2410044,20494,multi component,71287244,multi-component
23,389049341,2410044,20494,extended,71287244, extended
24,389049673,2410044,20494,elongated,71287284,elongated
25,389049673,2410044,20494,extended,71287284, extended
26,389049863,2410044,20494,complex,71287246,complex
27,389049863,2410044,20494,extended,71287246, extended
28,389049863,2410044,20494,triangular shape,71287246, triangular shape
29,389049863,2410044,20494,multi component,71287246, multi-component
30,389049946,2410044,20494,compact,71287050,compact
31,389049946,2410044,20494,slightly elongated,71287050, slightly elongated
32,389050027,2410044,20494,extended,71287078,extended
33,389050027,2410044,20494,bright core,71287078, bright core
34,389050027,2410044,20494,,71287078, galaxy 
35,389050071,2410044,20494,compact,71287171,compact
36,389050071,2410044,20494,slightly extended,71287171, slightly extended west
37,389050151,2410044,20494,bright core,71287005,bright core
38,389050151,2410044,20494,extended tail,71287005, extended tail
39,389050191,2410044,20494,marginal detection,71287205,marginal detection
40,389050357,2410044,20494,compact,71287173,compact
41,389050357,2410044,20494,slightly extended,71287173, slightly extended
42,389050381,2410044,20494,compact,71287270,compact
43,389050397,2410044,20494,compact,71287160,compact
44,389050592,2410044,20494,components,71287051,two components
45,389050592,2410044,20494,elongated,71287051, elongated
46,389050680,2410044,20494,x shaped,71287081,x-shaped
47,389050706,2410044,20494,compact,71287225,compact
48,389050804,2410044,20494,multi component,71287211,multi-component
49,389050804,2410044,20494,likely connected neighbouring,71287211, likely connected to neighbouring source
50,389050804,2410044,20494,elongated,71287211, elongated
51,389050839,2410044,20494,core,71287272,core emission of galaxy
52,389050884,2410044,20494,compact,71287035,compact
53,389050884,2410044,20494,slightly elongated,71287035, slightly elongated
54,389060922,2410044,20494,extended,71287139,extended
55,389060922,2410044,20494,blob,71287139, blob-like 
56,389060985,2410044,20494,v shaped,71287068,v-shaped
57,389060985,2410044,20494,central counterpart,71287068, central counterpart
58,389064835,2410044,20494,elongated,71287146,elongated
59,389064835,2410044,20494,jets,71287146, two jets
60,389064835,2410044,20494,dominant core,71287146, dominant core
61,389064882,2410044,20494,extended,71287136,extended
62,389064882,2410044,20494,irregular,71287136, irregular
63,389064882,2410044,20494,multi component,71287136, multi-component
64,389064940,2410044,20494,jet,71287168,part of jet emission
65,389064997,2410044,20494,compact,71287086,compact
66,389064997,2410044,20494,extended,71287086, extended towards north
67,389065032,2410044,20494,compact,71287210,compact
68,389065127,2410044,20494,roundish,71287030,roundish
69,389065127,2410044,20494,diffuse,71287030, diffuse
70,389065345,2410044,20494,compact core,71287033,compact core
71,389065345,2410044,20494,(confused) jet,71287033, (confused) jet
72,389076084,2410044,20494,diffuse,71287266,diffuse
73,389076084,2410044,20494,elongated,71287266, elongated
74,389076084,2410044,20494,disk,71287266, disk
75,389076364,2410044,20494,extended,71287022,extended
76,389076364,2410044,20494,elongated,71287022, elongated
77,389076364,2410044,20494,jet,71287022, jet
78,389076364,2410044,20494,larger structure,71287022, part of larger structure
79,389076409,2410044,20494,compact,71287044,compact
80,389076409,2410044,20494,roundish,71287044, roundish
81,389076481,2410044,20494,compact,71287121,compact
82,389076481,2410044,20494,slightly elongated,71287121, slightly elongated
83,389076545,2410044,20494,compact,71287285,compact
84,389076545,2410044,20494,slightly elongated,71287285, slightly elongated
85,389076691,2410044,20494,component,71287227,three-component source
86,389076691,2410044,20494,extended,71287227, extended
87,389076691,2410044,20494,elongated,71287227, elongated
88,389076973,2410044,20494,component,71287064,two-component
89,389077322,2410044,20494,tip tailed,71287105,tip of tailed emission
90,389077322,2410044,20494,arc,71287105, arc-like
91,389077967,2410044,20494,diffuse,71287001,diffuse
92,389077967,2410044,20494,extended,71287001, extended
93,389077967,2410044,20494,larger structure,71287001, part of larger structure
94,389080563,2410044,20494,compact,71287254,compact
95,389080563,2410044,20494,extensions,71287254, extensions to west and north
96,389080675,2410044,20494,elongated,71287060,elongated
97,389080675,2410044,20494,,71287060, galaxy emission
98,389080752,2410044,20494,compact,71287199,compact
99,389080752,2410044,20494,marginal detection,71287199, marginal detection
100,389080866,2410044,20494,diffuse,71287090,diffuse
101,389080866,2410044,20494,triangular shape,71287090, triangular shape
102,389080925,2410044,20494,compact,71287031,compact
103,389080925,2410044,20494,roundish,71287031, roundish
104,389081009,2410044,20494,compact,71287049,compact
105,389081009,2410044,20494,boxy,71287049, boxy
106,389081200,2410044,20494,diffuse,71287269,diffuse
107,389081200,2410044,20494,extended,71287269, extended 
108,389081518,2410044,20494,component,71287234,two-component
109,389082855,2410044,20494,compact core,71287250,compact core
