,classification_id,user_id,workflow_id,annotations,subject_ids,original_annotations,most_similar,codes
0,389011724,2410044,20494,compact core,71287208,compact core,compact,0
1,389011724,2410044,20494,extended,71287208, extended towards south,extend,1
2,389011830,2410044,20494,double component,71287015,double component,component,2
3,389011830,2410044,20494,faint counterpart,71287015, faint counterpart south,faint,3
4,389011900,2410044,20494,complex,71287154,complex,complex,4
5,389011900,2410044,20494,extended,71287154, extended,extend,1
6,389011900,2410044,20494,irregular,71287154, irregular,irregular,5
7,389044790,2410044,20494,complex,71287181,complex,complex,4
8,389044790,2410044,20494,extended,71287181, extended,extend,1
9,389044790,2410044,20494,strong core,71287181, strong core,core,6
10,389044839,2410044,20494,elongated,71287138,elongated,elongate,7
11,389044839,2410044,20494,single tail,71287138, single tail,tail,8
12,389044839,2410044,20494,extended,71287138, extended,extend,1
13,389045210,2410044,20494,compact,71287021,compact,compact,0
14,389045277,2410044,20494,compact,71287202,compact,compact,0
16,389045277,2410044,20494,marginal detection,71287202, marginal detection,detection,9
17,389045913,2410044,20494,compact,71287195,compact,compact,0
18,389045913,2410044,20494,slightly elongated,71287195, slightly elongated,elongate,7
19,389046876,2410044,20494,compact,71287003,compact,compact,0
20,389046876,2410044,20494,slightly extended,71287003, slightly extended,slightly,10
22,389049341,2410044,20494,multi component,71287244,multi-component,component,2
23,389049341,2410044,20494,extended,71287244, extended,extend,1
24,389049673,2410044,20494,elongated,71287284,elongated,elongate,7
25,389049673,2410044,20494,extended,71287284, extended,extend,1
26,389049863,2410044,20494,complex,71287246,complex,complex,4
27,389049863,2410044,20494,extended,71287246, extended,extend,1
28,389049863,2410044,20494,triangular shape,71287246, triangular shape,shape,11
29,389049863,2410044,20494,multi component,71287246, multi-component,component,2
30,389049946,2410044,20494,compact,71287050,compact,compact,0
31,389049946,2410044,20494,slightly elongated,71287050, slightly elongated,elongate,7
32,389050027,2410044,20494,extended,71287078,extended,extend,1
33,389050027,2410044,20494,bright core,71287078, bright core,bright,12
35,389050071,2410044,20494,compact,71287171,compact,compact,0
36,389050071,2410044,20494,slightly extended,71287171, slightly extended west,slightly,10
37,389050151,2410044,20494,bright core,71287005,bright core,bright,12
38,389050151,2410044,20494,extended tail,71287005, extended tail,tail,8
39,389050191,2410044,20494,marginal detection,71287205,marginal detection,detection,9
40,389050357,2410044,20494,compact,71287173,compact,compact,0
41,389050357,2410044,20494,slightly extended,71287173, slightly extended,slightly,10
42,389050381,2410044,20494,compact,71287270,compact,compact,0
43,389050397,2410044,20494,compact,71287160,compact,compact,0
44,389050592,2410044,20494,components,71287051,two components,component,2
45,389050592,2410044,20494,elongated,71287051, elongated,elongate,7
46,389050680,2410044,20494,x shaped,71287081,x-shaped,x,13
47,389050706,2410044,20494,compact,71287225,compact,compact,0
48,389050804,2410044,20494,multi component,71287211,multi-component,component,2
49,389050804,2410044,20494,likely connected neighbouring,71287211, likely connected to neighbouring source,neighbouring,14
50,389050804,2410044,20494,elongated,71287211, elongated,elongate,7
51,389050839,2410044,20494,core,71287272,core emission of galaxy,core,6
52,389050884,2410044,20494,compact,71287035,compact,compact,0
53,389050884,2410044,20494,slightly elongated,71287035, slightly elongated,elongate,7
54,389060922,2410044,20494,extended,71287139,extended,extend,1
55,389060922,2410044,20494,blob,71287139, blob-like ,blob,15
56,389060985,2410044,20494,v shaped,71287068,v-shaped,v,16
57,389060985,2410044,20494,central counterpart,71287068, central counterpart,central,17
58,389064835,2410044,20494,elongated,71287146,elongated,elongate,7
59,389064835,2410044,20494,jets,71287146, two jets,jet,18
60,389064835,2410044,20494,dominant core,71287146, dominant core,core,6
61,389064882,2410044,20494,extended,71287136,extended,extend,1
62,389064882,2410044,20494,irregular,71287136, irregular,irregular,5
63,389064882,2410044,20494,multi component,71287136, multi-component,component,2
64,389064940,2410044,20494,jet,71287168,part of jet emission,jet,18
65,389064997,2410044,20494,compact,71287086,compact,compact,0
66,389064997,2410044,20494,extended,71287086, extended towards north,extend,1
67,389065032,2410044,20494,compact,71287210,compact,compact,0
68,389065127,2410044,20494,roundish,71287030,roundish,roundish,19
69,389065127,2410044,20494,diffuse,71287030, diffuse,diffuse,20
70,389065345,2410044,20494,compact core,71287033,compact core,compact,0
71,389065345,2410044,20494,(confused) jet,71287033, (confused) jet,),21
72,389076084,2410044,20494,diffuse,71287266,diffuse,diffuse,20
73,389076084,2410044,20494,elongated,71287266, elongated,elongate,7
74,389076084,2410044,20494,disk,71287266, disk,disk,22
75,389076364,2410044,20494,extended,71287022,extended,extend,1
76,389076364,2410044,20494,elongated,71287022, elongated,elongate,7
77,389076364,2410044,20494,jet,71287022, jet,jet,18
78,389076364,2410044,20494,larger structure,71287022, part of larger structure,structure,23
79,389076409,2410044,20494,compact,71287044,compact,compact,0
