,subject_ids,amorphous,asymmetric brightness,asymmetric structure,bent,bridge,compact,core,diffuse,double,edge brightened,extended,faint,host,hourglass,jet,lobe,merger,peak,plume,small,tail,traces host galaxy,coordinates
0,71286998,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,J201809-561006
1,71286999,0,0,0,0,0,0,1,3,0,0,6,0,2,0,0,0,0,0,0,0,2,1,J201828-554822
2,71287000,0,0,2,4,0,0,0,2,3,0,2,1,1,0,1,0,0,3,0,0,0,0,J201838-572516
3,71287001,1,0,0,2,1,0,1,6,2,1,6,0,1,0,3,0,0,1,0,0,1,1,J201916-565154
4,71287002,0,0,0,0,1,0,1,4,1,1,4,1,2,0,0,0,0,1,1,0,0,1,J201928-565127
5,71287003,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,J201942-540818
6,71287004,0,2,1,0,1,0,0,0,6,1,4,0,2,1,0,0,0,1,0,0,0,0,J202000-555309
7,71287005,0,0,2,3,1,2,0,1,0,0,4,0,1,0,0,0,0,0,1,0,1,0,J202035-541740
8,71287006,0,0,1,0,1,0,0,1,0,0,3,2,2,0,1,0,0,1,0,1,1,1,J202054-552656
9,71287007,1,0,0,0,0,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,J202111-540824
10,71287008,0,0,1,2,1,1,2,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,J202125-554542
11,71287009,0,2,0,0,1,0,0,2,1,1,3,0,1,0,0,0,0,1,0,0,0,0,J202132-533538
12,71287010,0,0,0,0,0,4,0,0,1,0,0,0,4,0,0,1,0,1,0,0,0,1,J202154-561930
13,71287011,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,J202211-550452
14,71287012,0,0,1,0,0,1,0,0,1,0,0,4,5,0,0,0,0,1,0,0,0,2,J202217-554252
15,71287013,0,1,2,0,1,2,1,0,4,1,3,1,3,1,0,1,0,1,0,0,0,0,J202221-564850
16,71287014,0,0,1,3,1,0,1,0,1,0,2,3,3,0,1,0,0,3,0,1,1,0,J202224-553203
17,71287015,0,0,0,1,0,0,0,0,2,0,2,1,2,0,0,0,0,1,0,2,0,1,J202225-560949
18,71287016,0,0,0,0,0,2,0,0,0,0,2,1,2,0,0,0,0,1,0,0,0,1,J202227-550140
19,71287017,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,J202231-551645
20,71287018,0,0,1,0,0,8,0,0,1,0,0,5,2,0,0,0,0,1,0,2,1,2,J202236-561625
21,71287019,0,0,1,1,0,1,1,1,4,0,0,1,2,0,0,1,0,0,0,0,0,0,J202238-550525
22,71287020,0,0,1,2,0,0,3,4,3,1,6,0,1,0,0,0,0,0,1,0,2,0,J202257-553653
23,71287021,1,0,0,1,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,J202300-545923
24,71287022,1,0,0,2,1,0,1,4,1,0,5,0,1,0,1,0,0,0,1,0,1,0,J202303-540608
25,71287023,1,0,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,J202311-565655
26,71287024,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,J202312-535543
27,71287025,0,1,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,2,1,J202313-563243
28,71287026,1,0,0,0,0,1,1,0,0,0,0,5,3,0,0,0,0,0,0,1,0,0,J202329-561708
29,71287027,0,0,0,3,0,0,1,4,2,1,3,3,3,0,0,0,0,0,0,0,0,1,J202341-573525
30,71287028,0,0,1,4,1,0,1,0,3,0,1,2,2,0,1,0,0,3,0,0,1,0,J202413-554250
31,71287029,0,0,0,0,1,0,1,1,3,0,4,0,3,1,0,0,0,1,0,0,0,1,J202417-533330
32,71287030,1,1,1,0,0,0,1,2,2,0,2,3,2,0,0,0,0,1,0,2,0,1,J202434-554544
33,71287031,0,0,1,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,J202445-562047
34,71287032,0,0,1,0,0,0,0,1,2,1,1,0,3,0,1,0,0,2,0,0,1,0,J202446-540020
35,71287033,0,0,0,0,0,1,1,1,2,2,2,0,1,0,0,1,0,1,0,0,1,0,J202448-540136
